timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.023.131;-7.287.155;112.796.121;0.56;35.32;35.44;6.01;0.68;105.48;0;2220;2220;11.89;10.88;1;-805.166.548.059.355;322.465.287.264.913;0;-245.140.108.712.123;583.275.809.959.157;-803.644.563.847.793;-806.111.986.462.335;320.717.148.107.571;-5,
2.023.231;-7.287.156;112.796.122;0.61;35.32;35.32;5.95;0.66;103.89;0;2220;2159;11.85;10.89;1;-794.136.869.346.729;311.345.794.598.903;0;-245.140.118.348.696;583.275.804.387.451;-803.644.673.546.672;-795.069.354.713.013;309.657.935.611.467;-5,
2.023.331;-7.287.157;112.796.122;0.6;34.96;35.38;5.94;0.65;102.3;0;2159;2220;11.82;10.83;1;-794.136.869.346.729;300.226.301.942.769;0;-245.140.117.805.186;583.275.803.094.247;-80.364.478.324.555;-795.069.352.943.308;298.598.721.388.354;-5,
2.023.431;-7.287.157;112.796.122;0.54;35.68;35.08;5.98;0.64;100.72;0;2220;2220;11.94;10.89;1;-794.136.869.346.729;300.226.301.942.769;0;-245.140.117.805.186;583.275.803.094.247;-80.364.478.324.555;-795.069.352.943.308;298.598.721.388.354;-5,
2.023.531;-7.287.157;112.796.122;0.55;35.62;36.33;6.04;0.65;99.16;0;2220;2159;11.97;10.89;1;-794.136.869.346.729;300.226.301.942.769;0;-245.140.117.805.186;583.275.803.094.247;-80.364.478.324.555;-795.069.352.943.308;298.598.721.388.354;-5,
2.023.631;-7.287.158;112.796.123;0.62;35.5;35.5;6.06;0.66;97.6;0;2159;2220;11.83;10.86;1;-783.107.190.634.102;289.106.809.276.759;0;-245.140.127.441.759;583.275.797.522.541;-803.644.892.944.429;-784.026.721.406.766;287.539.508.884.853;-5,
2.023.731;-7.287.158;112.796.123;0.51;35.8;35.85;6.04;0.66;96.05;0;2220;2220;11.98;10.89;1;-783.107.190.634.102;289.106.809.276.759;0;-245.140.127.441.759;583.275.797.522.541;-803.644.892.944.429;-784.026.721.406.766;287.539.508.884.853;-5,
2.023.831;-7.287.159;112.796.123;0.62;36.39;35.5;6;0.66;94.52;0;2220;2159;11.94;10.89;1;-783.107.190.634.102;277.987.316.610.749;0;-245.140.126.898.249;583.275.796.229.337;-803.645.002.643.307;-784.026.719.657.595;276.480.294.656.846;-5,
2.023.931;-7.287.159;112.796.123;0.53;36.09;35.44;5.99;0.66;92.99;0;2159;2220;11.94;10.91;1;-783.107.190.634.102;277.987.316.610.749;0;-245.140.126.898.249;583.275.796.229.337;-803.645.002.643.307;-784.026.719.657.595;276.480.294.656.846;-5,
2.024.031;-728.716;112.796.123;0.63;35.68;35.62;5.99;0.67;91.47;0;2220;2220;11.98;10.89;1;-783.107.190.634.102;266.867.823.944.739;0;-245.140.126.354.739;583.275.794.936.132;-803.645.112.342.185;-784.026.717.965.041;265.421.080.388.645;-5,
2.024.131;-728.716;112.796.124;0.56;35.56;35.62;5.99;0.68;89.96;0;2220;2159;12.01;10.86;1;-772.077.511.764.735;266.867.823.944.739;0;-245.140.136.534.822;583.275.790.657.629;-803.645.112.342.185;-772.984.087.904.546;265.421.082.111.098;-5,
2.024.231;-7.287.161;112.796.124;0.59;35.62;35.5;6;0.69;88.45;0;2159;2220;11.88;10.85;1;-772.077.511.764.735;255.748.331.278.729;0;-245.140.135.991.312;583.275.789.364.425;-803.645.222.041.063;-772.984.086.182.752;254.361.867.876.565;-5,
2.024.331;-7.287.162;112.796.124;0.64;35.32;35.26;6.03;0.69;86.93;0;2220;2220;11.95;10.85;1;-772.077.511.764.735;244.628.838.612.719;0;-245.140.135.447.802;58.327.578.807.122;-80.364.533.173.994;-772.984.084.467.802;243.302.653.640.401;-5,
2.024.431;-7.287.162;112.796.124;0.49;35.62;35.5;6.07;0.69;85.42;0;2220;2159;11.8;10.86;1;-772.077.511.764.735;244.628.838.612.719;0;-245.140.135.447.802;58.327.578.807.122;-80.364.533.173.994;-772.984.084.467.802;243.302.653.640.401;-5,
