timestamp;latitude;longitude;speedMps;Calc_deg_servo_1;Calc_deg_servo_2;roll;pitch;yaw;zigzag_yaw;rpm_prop_1;rpm_prop_2;battery_1;battery_2;mode_auto;x_enu_flat;y_enu_flat;z_enu_flat;X_ecef;Y_ecef;Z_ecef;x_enu_ecef;y_enu_ecef;z_enu_ecef,
2.029.631;-7.287.183;11.279.611;0.64;35.68;35.62;5.91;0.68;3.75;0;2220;2159;11.99;10.9;1;-926.493.014.211.726;0.111194926660101;0;-245.139.981.512.905;58.327.582.081.289;-803.647.635.416.313;-927.580.858.220.576;0.110591280058042;-6,
2.029.731;-7.287.183;112.796.109;0.56;35.32;35.5;5.88;0.69;1.98;0;2220;2220;11.88;10.92;1;-937.522.692.924.353;0.111194926660101;0;-245.139.971.332.822;58.327.582.509.139;-803.647.635.416.313;-938.623.487.541.966;0.110591259383298;-6,
2.029.831;-7.287.184;112.796.109;0.61;36.27;35.14;5.89;0.7;0.2;0;2220;2220;11.86;10.86;1;-937.522.692.924.353;0;0;-24.513.997.078.931;583.275.823.798.181;-803.647.745.115.185;-938.623.485.484.234;-8,,91E+08
2.029.931;-7.287.184;112.796.108;0.63;35.68;35.14;5.94;0.7;358.42;0;2220;2159;11.89;10.85;1;-948.552.371.636.979;0;0;-245.139.960.609.226;583.275.828.076.681;-803.647.745.115.185;-949.666.114.647.598;-9,,07E+08
2.030.031;-7.287.184;112.796.108;0.63;35.56;35.91;6.02;0.69;356.63;0;2220;2220;11.99;10.83;1;-948.552.371.636.979;0;0;-245.139.960.609.226;583.275.828.076.681;-803.647.745.115.185;-949.666.114.647.598;-9,,07E+08
2.030.131;-7.287.184;112.796.107;0.54;35.26;35.62;6.07;0.69;354.83;0;2220;2220;11.97;10.89;1;-959.582.050.349.605;0;0;-245.139.950.429.143;58.327.583.235.518;-803.647.745.115.185;-960.708.743.867.579;-9,,23E+08
2.030.231;-7.287.184;112.796.107;0.69;35.56;35.5;6.08;0.68;353.02;0;2220;2159;11.97;10.9;1;-959.582.050.349.605;0;0;-245.139.950.429.143;58.327.583.235.518;-803.647.745.115.185;-960.708.743.867.579;-9,,23E+08
2.030.331;-7.287.184;112.796.106;0.55;35.8;35.38;6.04;0.68;351.21;0;2220;2220;11.99;10.89;1;-970.611.729.218.973;0;0;-245.139.940.249.059;583.275.836.633.679;-803.647.745.115.185;-971.751.373.309.048;-9,,40E+08
2.030.431;-7.287.184;112.796.105;0.6;34.84;35.38;5.92;0.68;349.39;0;2220;2220;11.99;10.89;1;-981.641.407.931.599;0;0;-245.139.930.068.975;583.275.840.912.178;-803.647.745.115.185;-982.794.002.470.549;-9,,57E+08
2.030.531;-7.287.184;112.796.105;0.66;35.56;35.38;5.83;0.68;347.56;0;2220;2159;11.99;10.89;1;-981.641.407.931.599;0;0;-245.139.930.068.975;583.275.840.912.178;-803.647.745.115.185;-982.794.002.470.549;-9,,57E+08
