u,v,r,x_ENU,y_ENU,psi,delta,n_P,n_S,rpm
0,0,0,0,0,5.35100495368941,0.625264204526969,37,35.9833333333333,2189.5
-0.437204986062953,-0.14415859628887,-0.30543261909859,-0.110426293207988,-1.64898848048489e-10,5.32046169177951,0.620639082009184,35.9833333333333,35.9833333333333,2159
-0.259542716932714,-0.0945110699735982,-0.30717794835128,-0.110426293207988,-1.64898848048489e-10,5.28974389694441,0.622209878335978,37,37,2220
-0.722431761299017,-0.335805133213131,-0.303687289847288,-0.220852586455003,0.110592142081789,5.25937516795971,0.619591884457987,37,35.9833333333333,2189.5
-0.602813905938287,-0.165556053353094,-0.303687289846589,-0.220852586455003,0.110592142081789,5.22900643897501,0.618021088131192,35.9833333333333,37,2189.5
-0.896359669531624,-0.275362519892323,-0.300196631343306,-0.331278880629039,0.221184284150918,5.19898677584071,0.622646210648977,37,37,2220
-0.591758675248292,-0.20153183688907,-0.301941960594606,-0.331278880629039,0.221184284150918,5.16879257978121,0.622209878335978,37,35.9833333333333,2189.5
-0.585519525992874,-0.218998391990337,-0.296705972839305,-0.441705173857434,0.331776425860705,5.1391219824973,0.620551815546584,37,37,2220
-0.578764955658038,-0.236272170325998,-0.296705972839305,-0.441705173857434,0.331776425860705,5.1094513852134,0.619068285682389,37,37,2220
-0.571545117353376,-0.253238210379371,-0.294960643586639,-0.441705173857434,0.331776425860705,5.0799553208547,0.631983722147147,37,37,2220
-0.490567735668019,-0.0617180213187486,-0.296705972839305,-0.552131469437605,0.442368567291649,5.05028472357079,0.620639082009184,37,37,2220
-0.48854745982665,-0.0760736283462571,-0.293215314334647,-0.552131469437605,0.442368567291649,5.02096319213729,0.619591884457987,37,37,2220
-0.759640558534533,-0.241561740132233,-0.291469985083318,-0.552131470248144,0.552960709714254,4.99181619362898,0.619068285682389,37,37,2220
-0.483303695964969,-0.104323312650756,-0.289724655831322,-0.552131470248144,0.552960709714254,4.96284372804588,0.625787803302567,37,37,2220
-0.695872333547098,-0.0695697579434326,-0.28797932657868,-0.662557764590275,0.663552851007062,4.93404579538797,0.615926693028799,37.9833333333333,37,2249.5
-0.518887707890282,-0.348638724909243,-0.286233997327321,-0.662557764590275,0.663552851007062,4.90542239565526,0.620639082009184,37,37,2220
-0.726898932868571,-0.327144915952818,-0.28623399732668,-0.662557766103881,0.774144993457,4.87679899592256,0.615926693028799,37,37,2220
-0.468221120687108,-0.158854652094206,-0.284488668075335,-0.772984060854893,0.774144991928437,4.84835012911505,0.623169809424575,37,37,2220
-0.683420227157977,-0.148374698020783,-0.284488668075335,-0.772984062797788,0.884737134470965,4.81990126230754,0.620639082009184,37,37,2220
