v,r,x_ENU,y_ENU,psi,delta,rpm
0,0,0,0,5.67214553605637,-0.697520835559534,690
0,-0.0209439510239586,0,0,5.67005114095398,-0.699615230661927,869.5
0,-0.0157079632679266,0,0,5.66848034462718,-0.703193155628515,1049.5
-0.127526956521871,-0.00872664625997904,0,0,5.66760768000119,-0.696473638008337,1259
0.0530567505175929,0,0,0,5.66760768000119,-0.704327619642312,1440
0.0533255383741166,0.00872664625997904,-0.110426292926783,-2.87810704088787e-11,5.66848034462718,-0.700138829437525,1649.5
0.0539167284238358,0.0191986217719539,-0.110426293084985,0.110592142411743,5.67040020680438,-0.700138829437525,1829.5
0.0548299941037469,0.0296705972838613,-0.110426293084985,0.110592142411743,5.67336726653277,-0.695950039232739,1920
0.18177938738243,0.036651914291912,-0.110426293084985,0.110592142411743,5.67703245796196,-0.683994533856578,2009.5
0,0.0488692190557804,-0.110426293084985,0.110592142411743,5.68191937986754,-0.700662428213124,2040
-0.123882400415703,0.0575958653158617,-0.110426293084985,0.110592142411743,5.68767896639912,-0.701622359301721,2100
0.0613158795139762,0.0680678408278454,-0.110426293084985,0.110592142411743,5.6944857504819,-0.699615230661927,2129.5
0.0636143445672583,0.0750491578356491,-0.220852584929233,0.110592142056249,5.70199066626547,-0.699615230661927,2189.5
0.0661758349359157,0.0837758040958077,-0.22085258565361,0.221184284672209,5.71036824667505,-0.686088928958971,2189.5
-0.0488101847154692,0.0959931088595601,-0.22085258565361,0.221184284672209,5.71996755756102,-0.702669556852917,2220
0.0723465758423214,0.106465084371744,-0.22085258565361,0.221184284672209,5.73061406599818,-0.696473638008337,2249.5
-0.1137474933364,0.115191730631732,-0.331278880142029,0.221184284047615,5.74213323906134,-0.69856803311073,2280
-0.031882938365609,0.122173047639438,-0.331278880142029,0.221184284047615,5.7543505438253,-0.695426440457141,2219
-0.0253414580200373,0.13264502315169,-0.331278880142029,0.221184284047615,5.76761504614046,-0.702233224539918,2249.5
0.0877952842198796,0.141371669411348,-0.441705174564691,0.331776425952961,5.78175221308162,-0.698044434335132,2280
0.092340053030467,0.151843644923644,-0.441705174564691,0.331776425952961,5.79693657757397,-0.699091631886329,2280
0.194141957775889,0.158824961931627,-0.441705174564691,0.331776425952961,5.81281907376711,-0.700662428213124,2280
0.102035281045447,0.167551608191226,-0.441705174564691,0.331776425952961,5.82957423458626,-0.703193155628515,2280
0.107278434796558,0.178023583703581,-0.552131467749302,0.442368567258273,5.8473765929566,-0.701186026988722,2280
0.0233515892923559,0.188495559215136,-0.552131467749302,0.442368567258273,5.86622614887814,-0.699091631886329,2280
0.032992077456641,0.195476876223548,-0.552131467749302,0.442368567258273,5.88577383650048,-0.702233224539918,2280
0.124250575747988,0.200712863979527,-0.662557761360515,0.442368565911598,5.90584512289841,-0.695950039232739,2249.5
0.0532602497234528,0.211184839491022,-0.662557761360515,0.442368565911598,5.92696360684754,-0.706334748282105,2279
0.0639610892226712,0.218166156499485,-0.662557762787951,0.552960708439415,5.94878022249747,-0.70170962576432,2279
0.14274283681959,0.225147473506965,-0.772984055677474,0.552960706874931,5.9712949698482,-0.701186026988722,2249.5
0.086115466414926,0.228638132011469,-0.772984055677474,0.552960706874931,5.99415878304933,-0.6772750162364,2249.5
0.0976361589539902,0.237364778271448,-0.772984055677474,0.552960706874931,6.01789526087645,-0.70170962576432,2249.5
0.162072261130681,0.242600766026875,-0.883410349562459,0.552960705001099,6.04215533747917,-0.688706922836962,2249.5
0.121342004736746,0.249582083035418,-0.883410351556069,0.663552847473402,6.06711354578269,-0.701186026988722,2249.5
0.133586388146012,0.256563400042809,-0.883410351556069,0.663552847473402,6.092769885787,-0.702233224539918,2279
0.145825219903005,0.258308729295397,-0.993836645938785,0.663552845444894,6.11860075871652,-0.699091631886329,2249.5
0.158130130038608,0.261799387799389,-0.993836645938785,0.663552845444894,6.14478069749644,-0.687659725285766,2220
0.14607044456881,0.26878070480677,-1.10426294045839,0.663552843152808,6.17165876797715,-0.703716754404114,2249.5
0.183287499057559,0.274016692563351,-1.10426294301817,0.774144985800547,6.19906043723346,-0.700138829437525,2219
0.183619182952575,0.279252680318712,-1.21468923602595,0.774144983204634,6.22698570526537,-0.697520835559534,2220
0.208686762530144,0.280998009571343,-1.21468923602595,0.774144983204634,6.25508550622248,-0.696997236783936,2189.5
0.000154173404772664,0.284488668075335,-1.32511553039004,0.774144980408275,6.28353437302999,-0.700575161750524,2219
0.012949604584838,0.289724655830663,-1.32511553039004,0.774144980408275,6.31250683861309,-0.693332045354747,2249.5
0.246542746239814,0.289724655831322,-1.32511553039004,0.774144980408275,6.3414793041962,-0.704240353179712,2219
0.258986594943451,0.293215314334647,-1.43554182367159,0.774144977285204,6.3708008356297,-0.647691685415096,2219
0.271279853852773,0.294960643587309,-1.43554182679754,0.884737119761954,6.40029689998841,-0.348891317473666,2219
